run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2,Iscaled,sigmascaled,normalized_residual
4,-1,-4,-8,9.8854799,87.705838,662.09429,0,0.41001267,0.79813001,0,52.935903,5.9786528,103.04494,135.44388,123,0.17977528,5,1031.7893,105.2809,10127.17,46.453043,5.3981152,-0.67588236
4,-1,-4,-7,17.343543,100.59568,636.59636,0,0.3986012,0.81778903,0,372.20299,13.862063,763.62921,808.83714,791,0.23595506,5,13199.907,763.62921,228277.48,326.6207,12.250356,-0.083324549
4,-1,-3,-8,3.7013974,109.01234,606.69276,0,0.39436435,0.83767408,0,57.031473,5.9819141,121.14124,161.44895,146,0.2259887,5,445.16949,121.14124,1651.7662,50.047045,5.2021507,-0.28841565
4,-1,-3,-7,10.888479,125.76912,584.28405,0,0.37290123,0.85857614,0,243.36525,10.715872,560.32961,608.73047,590,0.26256983,5,6065.8059,560.32961,65738.769,213.56123,9.1748655,0.69897174
4,-1,-2,-7,1.861909,140.33908,538.88063,0,0.35849606,0.88921704,0,3.1256165,2.468223,7.752809,37.481379,26,0.16292135,5,18.339888,9.1573034,38.398174,2.7428341,7.0038258,-14.769002
4,-1,-2,-6,9.1019352,158.74954,519.8876,0,0.32903174,0.90860936,0,2.8868987,2.5260757,7.972067,48.659936,33,0.22346369,5,95.547486,10.49162,875.93506,2.5333511,3.4381071,-5.2801848
4,-1,-2,-5,17.402197,174.87195,501.89045,0,0.3019603,0.92538645,0,664.75017,15.009735,2037.191,2115.8878,2085,0.41573034,5,35314.93,2037.191,612415.1,583.34074,12.926434,0.56488738
4,-1,-1,-5,3.3241361,185.70999,463.16226,0,0.28589658,0.94522626,0,694.73894,14.765462,2296.9337,2383.1298,2350,0.46961326,5,7472.0428,2296.9337,24450.63,609.65689,12.805066,0.57665853
4,-1,-1,-4,11.481602,204.42241,446.80275,0,0.25060973,0.95952367,0,253.5636,8.422603,970.83333,1039.9398,1013,0.36666667,5,11135.833,970.83333,127830.79,222.51063,7.3023196,0.51072852
4,-1,-1,-3,21.551915,220.83037,430.85878,0,0.21877118,0.9708001,0,1714.2094,19.795258,7606.8278,7716.1692,7674,0.59444444,5,163932.35,7606.8278,3533523.1,1504.2767,17.473403,-0.40227376
4,-1,0,-1,19.146983,264.56792,363.8481,0,0.13048573,0.99085268,0,1256.1523,12.979183,9538.6816,9713.7485,9646,0.94972067,5,182995.15,9538.6816,3511040.9,1102.3161,11.399248,0.2673337
4,0,-4,-7,10.390982,163.5074,679.11815,0,0.28444058,0.82381197,0,113.91375,6.5578336,329.92308,360.73964,349,0.17032967,5,3416.5577,329.92308,35443.543,99.963164,5.7592269,-0.3674913
4,0,-4,-6,20.678847,170.4616,654.17017,0,0.27903818,0.84152074,0,139.32068,7.1180954,420.16201,460.81861,445,0.21787709,5,8667.6774,420.16201,178873.75,122.2586,6.3070368,-0.46293567
4,0,-3,-7,1.3435137,182.489,623.61732,0,0.26527175,0.86497217,0,351.03181,10.549148,1144.6102,1183.1968,1168,0.20338983,5,1436.9633,1144.6102,1995.411,308.04227,9.2284094,0.46421703
4,0,-3,-6,11.214029,195.89102,601.76185,0,0.24579667,0.88375824,0,72.968609,4.7182229,262.35754,287.78746,278,0.1396648,5,2940.8352,262.35754,33000.065,64.03242,3.9265389,1.0909143
