h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
2,2,8,178.9661792,4.504222137,179.8014992,8.724023566,-6.210574203,0.02036078454,0.1191928378
2,2,9,137.6557019,4.923957998,144.8824366,-7.403832148,-6.131169539,0.02421334158,1.124525927
2,2,10,6.122929027,1.367595728,4.175765324,-0.8467354492,-1.395133855,0.5251937244,-1.411114418
2,2,11,73.46721729,4.11658518,71.10871041,-0.07362608552,6.73414233,0.04586322356,-0.5050907732
2,2,12,69.73899798,4.258652539,71.16545826,-0.25613727,6.732360802,0.04441819526,0.3006354144
2,2,13,76.50787855,4.619691237,72.08204895,4.901595636,4.685003989,0.03758034153,-0.8579758255
2,2,14,26.92052664,3.192030554,27.89950129,4.120781889,-0.902127766,0.09223984063,0.2973245141
2,2,15,23.40282418,6.126339124,29.78755481,-2.227934851,-3.746359588,0.02629851963,1.035400166
2,3,0,-0.7574017522,1.302685191,0.1652953182,-0.324696137,1.33226763e-15,0.5892791135,0.7083039534
2,3,1,262.84553,5.968337512,236.8329014,12.27010911,0.7068511037,0.01022494385,-2.630357056
2,3,2,342.6490768,7.270395321,331.2219115,-13.93672607,-4.126192564,0.006308105579,-0.9075864138
2,3,3,319.5673384,5.840537313,318.5179094,6.918621693,-12.4614481,0.007935070082,-0.09348209783
2,3,4,95.70440125,2.414189854,96.34019413,-2.693342409,-7.361588192,0.07106455932,0.169489264
2,3,5,377.5916937,7.68014103,366.6599655,-5.958382003,14.08397497,0.005338956901,-0.7987613319
2,3,6,758.629885,10.49624803,765.8256627,20.36268202,8.591571951,0.001592005344,0.2871111092
2,3,7,11.66248329,1.364279741,12.1133484,2.072603748,1.852125953,0.5041157583,0.3201192256
2,3,8,102.2299639,3.01516398,101.3648535,8.028318531,-0.444939394,0.05406257902,-0.2011499352
2,3,9,65.75434112,3.309100247,65.654706,0.2111775267,-6.46767812,0.06737902248,-0.0258627558
2,3,10,282.7360722,7.033647716,278.6723943,-12.213554,-5.345101214,0.008236016692,-0.3687889397
2,3,11,38.60625738,2.745618712,41.6444348,-4.913237324,1.556110757,0.1126148838,1.019555867
2,3,12,97.17224354,4.324501836,98.93307865,-6.362676006,4.755754911,0.03676535934,0.3376277217
2,3,13,15.09638705,5.620503158,13.5544539,1.046678527,-2.747667631,0.03145132133,-0.2734544486
2,3,14,8.776051989,4.794505825,10.5797623,2.597273224,0.04568108822,0.04337152301,0.3756376573
2,3,15,16.59227866,4.906054611,7.689596406,1.985913631,0.980140429,0.04112324832,-1.805363174
2,4,0,25.85831761,3.442546414,28.2286474,-4.243184147,2.220446049e-15,0.08030249535,0.6716968248
2,4,1,303.3439068,6.339751916,305.5008765,13.94562547,0.6100048823,0.008129537511,0.1944809072
2,4,2,5.558694412,1.507439818,5.106010117,-0.725772841,-1.652251749,0.4347478325,-0.298479247
2,4,3,107.9370302,3.349374149,103.9698269,-1.73658812,-7.955980038,0.04607515808,-0.8515651355
2,4,4,234.6350523,5.425400886,229.4482156,-0.1712569104,12.09610825,0.01266091681,-0.5836267027
