run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2,Iscaled,sigmascaled,normalized_residual
3,-4,5,-5,50.840922,121.93585,103.85621,0,0.57081309,0.71828358,0,10.029882,3.8217416,12.621118,23.127393,20,0.11180124,5,756.50155,14.900621,38408.754,9.4296983,3.4866736,0.4176992
3,-4,5,-4,46.517074,135.7241,105.2574,0,0.55252825,0.72832846,0,17.064382,4.3620724,22.493827,33.062167,30,0.11728395,5,1047.179,22.493827,48754.116,16.043257,4.3036685,-0.95136219
3,-4,5,-3,41.784602,146.70127,106.15942,0,0.53749315,0.73629735,0,37.766895,6.0643908,51.735849,69.013647,64,0.18867925,5,2159.6101,51.735849,90161.262,35.506941,5.4702333,0.56530497
3,-4,5,-2,36.701328,154.73284,106.64608,0,0.52620923,0.7420731,0,28.641757,5.1361097,40.391304,52.462023,49,0.13664596,5,1504.7609,40.956522,55291.016,26.927848,5.1088086,-0.94477905
3,-4,5,-1,31.347899,159.69344,106.7817,0,0.51908251,0.74557202,0,74.890976,7.8245552,107.5679,126.30651,121,0.20987654,5,3405.3549,108.7284,106664.25,70.409535,6.9299919,1.1018368
3,-4,5,0,25.821965,161.49213,106.60731,0,0.51638241,0.74674391,0,-0.20745362,2.4637483,-0.3,12.693844,9,0.15,5,103.19063,4.0625,2621.6414,-0.19503969,2.3435302,-0.11754194
3,-4,5,1,20.228343,160.09161,106.13734,0,0.51821045,0.74557202,0,58.075357,7.0360763,83.555556,102.47737,97,0.2037037,5,1689.2222,83.555556,34157,54.600155,6.9288433,-1.0450565
3,-4,5,2,14.667424,155.51602,105.358,0,0.52448735,0.7420731,0,33.022642,5.5825319,46.722222,62.385802,58,0.17901235,5,688.15278,46.722222,10138.059,31.046583,5.2519952,-0.15842547
3,-4,5,3,9.2248674,147.84506,104.22814,0,0.53496273,0.73629735,0,39.791617,5.7420816,54.767296,62.459447,60,0.081761006,5,512.06761,55.779874,4707.7284,37.410505,5.027105,0.97888168
3,-4,5,4,3.9650788,137.19628,102.6819,0,0.54924414,0.72832846,0,16.683653,4.5185233,22.123457,35.901844,32,0.15432099,5,90.774691,23.493827,353.51157,15.685311,4.4713861,-0.99560386
3,-4,6,-7,51.396625,19.62935,85.792881,0,0.68479319,0.64724993,0,8.5239212,4.2907986,8.0566038,16.447558,14,0.094339623,5,415.70283,8.0566038,21451.088,8.0138538,3.440464,0.9941977
3,-4,6,-6,48.358935,38.277031,89.605901,0,0.66667475,0.65926848,0,48.033618,7.9678143,47.5,62.083333,58,0.16666667,5,2320.4583,48.055556,112055.59,45.159309,7.4961557,-0.42521986
3,-4,6,-5,44.985824,54.085189,92.5457,0,0.6503306,0.66980625,0,34.073918,6.4877264,35.09434,44.649341,42,0.11320755,5,1634.7311,36.396226,73428.143,32.034951,6.0528497,0.25876964
3,-4,6,-4,41.292894,67.090844,94.731856,0,0.63618703,0.67867911,0,-6.5677008,2.959955,-7.0063694,9.9707899,5,0.18471338,5,0,0,0,-6.1746927,3.6312389,-2.2006968
3,-4,6,-3,37.307197,77.29099,96.260438,0,0.62463479,0.68573644,0,47.074221,7.0906093,51.679012,60.593946,58,0.098765432,5,1922.5185,51.679012,71528.162,44.257322,6.6714009,0.14413617
3,-4,6,-2,33.067459,84.659783,97.205978,0,0.61600995,0.69086107,0,13.486287,4.5553711,15.125,26.100781,23,0.125,5,562.20625,17.0625,18525.616,12.679274,4.3111237,-0.090015143
3,-4,6,-1,28.622843,89.164178,97.62196,0,0.6105737,0.69396933,0,91.933734,9.5618386,104.49057,118.11014,114,0.1509434,5,2989.1887,104.49057,85527.436,86.432463,8.8377641,0.71589064
3,-4,6,0,24.030133,90.776922,97.540488,0,0.60849402,0.69501099,0,1.3296916,3.0377751,1.51875,12.038766,9,0.11875,5,67.551563,2.81875,1619.0512,1.2501235,2.669776,0.70084372
3,-4,6,1,19.349667,89.485427,96.971693,0,0.60983271,0.69396933,0,70.467679,8.5729152,80.189873,95.17353,91,0.17721519,5,1548.5411,80.189873,29916.67,66.250926,8.8843158,-1.4255165
3,-4,6,2,14.640679,85.295162,95.903328,0,0.61454019,0.69086107,0,17.387753,4.9847223,19.54717,31.402397,28,0.13207547,5,287.52201,19.54717,4233.8412,16.347278,4.3747188,0.74380573
3,-4,6,3,9.9569401,78.22701,94.30073,0,0.62245939,0.68573644,0,51.588039,7.2703325,56.832298,64.150633,62,0.080745342,5,563.6087,56.832298,5597.4123,48.501035,6.5701665,0.77081699
3,-4,6,4,5.3434453,68.308976,92.107001,0,0.63333775,0.67867911,0,-1.3440309,2.5874656,-1.4402516,7.6878937,5,0.10062893,5,13.345912,2.3899371,74.658805,-1.2636047,2.6507218,-1.1621783
3,-4,6,5,0.83459053,55.563472,89.243006,0,0.64684493,0.66980625,0,33.353536,6.7637752,34.5375,49.054219,45,0.16875,5,27.475,34.7,26.7875,31.357676,6.3630428,0.14206901
3,-4,7,-2,29.289594,5.7211998,80.742746,0,0.69641043,0.63817546,0,5.8022682,3.8995519,5.3170732,12.769653,10,0.073170732,5,157.68293,5.398374,4605.9146,5.4550632,3.9308238,-0.42928485
