run,h,k,l,omega,x,y,module,Linv,polarization,scan_edge,I,sigma,Iraw_net,var_raw,raw_counts,bg_sum,nframes,weighted_omega,sum_pos,weighted_omega2
1,-1,-2,4,-0.24334958,490.10662,459.83247,1,0.30869692,0.93936422,0,212.13452,8.6673933,645.525,695.63344,681,0.5375,5,-181.64375,645.525,95.964062
1,-1,-2,5,7.9076259,503.59941,477.59548,1,0.33227893,0.92538645,0,566.72332,14.5004,1578.3067,1630.7998,1616,0.58895706,5,12418.273,1578.3067,97863.497
1,-1,-2,6,15.229333,518.99825,495.64318,1,0.35854365,0.90860936,0,17.831771,3.368053,45.188679,72.849769,65,0.31446541,5,740.78774,48.735849,11263.65
1,-1,-2,7,21.808201,535.94379,514.1414,1,0.38646908,0.88921704,0,129.71301,7.8981174,298.45342,330.2427,321,0.34161491,5,6495.5668,298.45342,141397.36
1,-1,-2,8,27.755281,554.19608,533.29014,1,0.41519697,0.86742709,0,8.2428235,2.7795741,17.220859,33.722063,29,0.18404908,5,492.82975,17.969325,13521.675
1,-1,-2,9,33.180858,573.62021,553.32691,1,0.44400671,0.84349057,0,333.76807,13.440213,634.06748,651.91912,647,0.20858896,5,21021.962,634.06748,697029.57
1,-1,-2,10,38.183755,594.17068,574.53495,1,0.47228128,0.81769199,1,5.9013451,2.896676,10.217391,25.152309,21,0.17391304,4,487.87733,12.763975,18648.295
1,-1,-2,11,42.848527,615.88002,597.25723,1,0.49947517,0.79034937,1,0,0,0,0,0,0,0,0,0,0
1,-1,-2,12,47.246232,638.85417,621.91778,1,0.52508716,0.76181418,1,0,0,0,0,0,0,0,0,0,0
1,-1,-1,1,-15.595363,420.66233,382.98485,1,0.17965077,0.9838548,1,0,0,0,0,0,0,0,0,0,0
1,-1,-1,2,-2.8421968,432.24078,400.75844,1,0.20133457,0.97893837,0,169.55784,6.1527468,824.4321,894.97744,875,0.79012346,5,-2341.2623,825.07407,6697.9807
1,-1,-1,3,7.7266031,447.28872,418.31779,1,0.22950075,0.9708001,0,1553.6786,19.265482,6572.1411,6641.2706,6622,0.79141104,5,50582.9,6572.1411,389681.96
1,-1,-1,4,16.39189,464.57779,435.72689,1,0.26174794,0.95952367,0,215.23599,7.9219338,789.01875,843.34887,828,0.61875,5,12904.13,789.01875,211111.58
1,-1,-1,5,23.590306,483.31456,453.10434,1,0.29635361,0.94522626,0,602.46212,13.930139,1921.566,1974.0678,1959,0.58490566,5,45410.248,1923.0063,1072463.4
1,-1,-1,6,29.706673,503.04095,470.60104,1,0.33212912,0.9280585,0,22.197323,3.7383282,62.025316,109.11681,96,0.55696203,5,1940.0158,65.379747,57569.355
1,-1,-1,7,35.032464,523.51925,488.39054,1,0.3682345,0.90820448,0,435.47447,13.458418,1074.0435,1101.8091,1094,0.31677019,5,37652.783,1074.3478,1319715
1,-1,-1,8,39.778323,544.6521,506.6679,1,0.4040433,0.8858818,1,9.0261101,2.3081657,19.790123,25.611187,24,0.067901235,1,766.86728,19.790123,29716.107
1,-1,-1,9,44.095444,566.43498,525.65397,1,0.43905654,0.86134151,1,0,0,0,0,0,0,0,0,0,0
1,-1,-1,10,48.093545,588.93048,545.60359,1,0.47284942,0.83486814,1,0,0,0,0,0,0,0,0,0,0
1,-1,0,3,34.344674,436.51712,393.87432,1,0.20955836,0.97770326,0,1026.488,14.959779,4789.1227,4871.4081,4849,0.98159509,5,163988.83,4789.1227,5615520.8
1,-1,0,4,39.102782,458.8797,411.30661,1,0.25195343,0.96634397,1,30.475719,3.1101191,116.88679,142.29085,135,0.28301887,2,4519.3884,116.88679,174744.76
1,-1,0,5,43.103077,481.23959,428.54959,1,0.29422065,0.95194002,1,0,0,0,0,0,0,0,0,0,0
1,-1,0,6,46.636423,503.61854,445.77826,1,0.33596016,0.93464203,1,0,0,0,0,0,0,0,0,0,0
1,0,-8,5,-12.339141,783.27997,748.61185,1,0.64281261,0.62731299,1,0,0,0,0,0,0,0,0,0,0
1,0,-7,5,-14.32254,709.38302,688.1823,1,0.59106311,0.68661578,1,0,0,0,0,0,0,0,0,0,0
1,0,-7,6,-8.7562534,710.86231,718.60857,1,0.57655936,0.67556058,1,0,0,0,0,0,0,0,0,0,0
1,0,-7,7,-2.9727287,714.00931,752.24253,1,0.56219716,0.66293052,0,-0.76854385,2.5306377,-0.90625,8.9046875,6,0.10625,5,-6.234375,2.375,16.476562
1,0,-6,5,-15.235865,646.56991,642.63843,1,0.52735311,0.74715551,1,0,0,0,0,0,0,0,0,0,0
1,0,-6,6,-8.990908,648.5029,669.17413,1,0.51779427,0.73440741,1,0,0,0,0,0,0,0,0,0,0
1,0,-6,7,-2.5824946,652.18397,697.99209,1,0.50923075,0.71977665,0,56.271876,6.818792,79.537975,92.892605,89,0.14556962,5,-206.74051,79.594937,546.41772
1,0,-6,8,3.9270597,657.61718,729.6387,1,0.50127966,0.70348079,0,23.619105,4.5784723,33.146341,41.284355,39,0.091463415,5,128.2378,33.146341,500.59604
1,0,-6,9,10.483552,664.80073,764.83941,1,0.49346206,0.6857709,0,3.7969909,2.6378308,5.2767296,13.438303,11,0.088050314,5,66.987421,6.1383648,731.75157
1,0,-5,5,-14.645165,590.78987,606.25044,1,0.45528328,0.80501333,1,0,0,0,0,0,0,0,0,0,0
1,0,-5,6,-7.5015191,593.95361,630.12957,1,0.45134918,0.79083278,1,-0.36764586,1.2074006,-0.64417178,4.4755542,3,0.055214724,1,0,0,0
1,0,-5,7,-0.31297802,599.08655,655.66083,1,0.44929459,0.77450911,0,12.375518,3.498747,21.333333,36.376068,32,0.16666667,5,-6.3846154,21.333333,7.4358974
1,0,-5,8,6.8252833,606.14749,683.22835,1,0.44866063,0.7562599,0,16.551273,3.7182712,27.898734,39.281525,36,0.12658228,5,199.42722,28.924051,1378.39
1,0,-5,9,13.840454,615.0837,713.33628,1,0.44889438,0.73633622,0,17.945075,3.7967528,29.435897,38.787219,36,0.1025641,5,451.07692,32.717949,6222.1603
1,0,-5,10,20.685371,625.8422,746.65395,1,0.44936174,0.71502258,0,44.620525,5.7011924,71,82.296,79,0.125,5,1472.55,71,30548.638
1,0,-4,5,-11.710891,540.14166,575.62531,1,0.37885642,0.8568733,1,0,0,0,0,0,0,0,0,0,0
1,0,-4,6,-3.4339683,545.56986,597.56436,1,0.38192685,0.84152074,0,120.93918,7.6293585,266.47205,282.58254,278,0.18012422,5,-910.13043,266.47205,3143.8222
1,0,-4,7,4.6216995,553.26931,620.67674,1,0.3877455,0.82381197,0,93.742239,6.9332885,199.16667,216.99074,212,0.2037037,5,933.375,199.16667,4397.1701
1,0,-4,8,12.342411,563.0869,645.25603,1,0.39564175,0.80396457,0,158.14905,9.1197958,321.36709,343.43126,337,0.24050633,5,3966.0696,321.36709,48983.108
1,0,-4,9,19.668962,574.86474,671.68663,1,0.40487463,0.78222959,0,94.135958,7.2481509,181.87342,196.10191,192,0.15822785,5,3583.4873,181.87342,70625.848
1,0,-4,10,26.587936,588.46408,700.46928,1,0.41466942,0.75889157,0,68.058971,6.5076005,124.55556,141.83951,137,0.19753086,5,3334.9028,125.5,88630.01
1,0,-4,11,33.119192,603.78362,732.25989,1,0.42423834,0.73426852,0,9.6590388,2.9212408,16.717791,25.563758,23,0.098159509,5,617.32975,18.644172,20441.748
1,0,-4,12,39.304082,620.77265,767.93065,1,0.43278498,0.7087119,1,30.124459,4.5256542,49.330645,54.923452,53,0.056451613,2,1904.8488,49.330645,73556.091
1,0,-3,4,-14.889477,488.27002,528.66293,1,0.29563464,0.91358044,1,0,0,0,0,0,0,0,0,0,0
1,0,-3,5,-4.8223669,494.69702,548.45867,1,0.30376861,0.90002237,0,216.59374,8.6816916,641.73585,661.65183,656,0.22641509,5,-3084.7264,641.73585,14899.967
1,0,-3,6,4.6317391,503.95953,568.85165,1,0.31621689,0.88375824,0,55.48266,4.747292,155.06211,176.03082,170,0.22981366,5,708.6413,155.06211,3254.9864
1,0,-3,7,13.318273,515.67454,590.03709,1,0.33194107,0.86497217,0,294.58044,10.82928,767.61783,796.30865,788,0.31847134,5,10220.213,767.61783,136168.79
1,0,-3,8,21.213288,529.47408,612.27537,1,0.34987922,0.84388173,0,93.158791,6.4285402,224.69182,240.40948,236,0.18238994,5,4769.3113,224.69182,101264.46
1,0,-3,9,28.374225,545.05395,635.89677,1,0.36902953,0.82073797,0,100.45813,7.022059,223.42331,243.90222,238,0.2208589,5,6353.8865,223.42331,180724.45
1,0,-3,10,34.896858,562.19486,661.31373,1,0.38848139,0.79582543,0,31.301802,4.3085018,64.123457,77.901844,74,0.15432099,5,2257.2654,64.493827,79010.525
1,0,-3,11,40.887491,580.76694,689.04428,1,0.40741189,0.76946212,1,0,0,0,0,0,0,0,0,0,0
1,0,-3,12,46.448602,600.72763,719.75105,1,0.42506447,0.74199951,1,0,0,0,0,0,0,0,0,0,0
1,0,-2,3,-15.932679,436.65024,485.54655,1,0.20521597,0.9575569,1,0,0,0,0,0,0,0,0,0,0
1,0,-2,4,-2.6895139,445.38081,504.13703,1,0.21962018,0.94644118,0,70.947352,4.3628089,305.74375,353.4884,340,0.54375,5,-824.49219,305.74375,2261.6809
1,0,-2,5,8.78466,457.78504,522.87537,1,0.24027632,0.93235038,0,143.39878,6.2810906,556.43396,594.02741,583,0.40251572,5,4890.6745,556.43396,43052.447
1,0,-2,6,18.481711,472.89446,541.92922,1,0.26516294,0.91543514,0,2761.8411,28.380096,9534.8405,9599.6904,9581,0.6993865,5,175979.37,9534.8405,3249385.7
1,0,-2,7,26.673096,489.95246,561.51964,1,0.29257621,0.89587956,0,304.78374,10.070733,933.25949,950.9188,946,0.20886076,5,24913.454,933.25949,665175.89
1,0,-2,8,33.68442,508.44948,581.90751,1,0.3211945,0.87390123,0,3.6019014,1.8974246,9.8,26.65125,22,0.2,5,352.15469,10.46875,11847.676
1,0,-2,9,39.801697,528.08097,603.39438,1,0.35000638,0.84975121,1,9.3119051,2.0983879,22.607595,25.953934,25,0.037974684,1,876.0443,22.607595,33946.717
1,0,-2,10,45.250677,548.69519,626.33386,1,0.37821617,0.82371401,1,0,0,0,0,0,0,0,0,0,0
1,0,-1,5,31.197665,438.26929,497.17747,1,0.20716829,0.95235009,0,439.86542,9.9193388,2022.0559,2079.2759,2063,0.63975155,5,63090.061,2022.0559,1968658.4
1,0,-1,6,38.153691,459.59197,515.19075,1,0.24461687,0.93504417,1,70.580394,4.5161395,269.79245,298.00676,290,0.32075472,4,10295.316,269.79245,392896.92
1,0,-1,7,43.776058,481.41051,533.63015,1,0.28215061,0.9150269,1,0,0,0,0,0,0,0,0,0,0
1,0,-1,8,48.555869,503.58723,552.73202,1,0.31905829,0.89251584,1,0,0,0,0,0,0,0,0,0,0
1,1,-7,5,-16.181247,678.08251,754.83848,1,0.51576168,0.68205027,1,0,0,0,0,0,0,0,0,0,0
1,1,-6,6,-10.081719,610.88635,734.06426,1,0.43373104,0.72928717,1,0,0,0,0,0,0,0,0,0,0
1,1,-5,6,-8.4251098,553.73364,690.40534,1,0.36467789,0.78512626,1,0,0,0,0,0,0,0,0,0,0
1,1,-5,7,0.58997031,553.39196,720.64999,1,0.35351254,0.76896586,0,144.16292,8.2736834,313.58537,323.89352,321,0.11585366,5,201.46951,313.58537,185.72104
1,1,-5,8,9.6033278,554.68678,753.84229,1,0.34377786,0.75090503,0,-1.4339206,1.0999593,-3.1320755,5.7725466,3,0.094339623,5,21.460692,2.1823899,211.20244
1,1,-4,5,-14.148024,501.1063,629.72912,1,0.2966028,0.85054896,1,0,0,0,0,0,0,0,0,0,0
1,1,-4,6,-3.3119447,501.15541,655.14235,1,0.29015682,0.83533454,0,36.005417,3.7539298,103.65625,116.7959,113,0.14375,5,-337.47656,103.65625,1112.9473
1,1,-4,7,7.270903,503.74836,682.18781,1,0.28722994,0.81778903,0,302.61755,10.495531,861.6,892.96,884,0.35,5,6291.6,861.6,46085.15
1,1,-4,8,17.31033,508.73198,711.24145,1,0.28717281,0.79813001,0,49.120327,4.4029825,136.51852,149.74577,146,0.14814815,5,2368.5494,136.51852,41116.434
1,1,-4,9,26.64829,515.8499,742.83334,1,0.28912009,0.77660853,0,4.2506521,1.6941199,11.417722,20.707899,18,0.10126582,5,326.40506,12.240506,8708.9581
1,1,-3,5,-5.2510944,449.40535,601.58636,1,0.21342958,0.89332493,0,25.967642,2.7102872,108.68944,128.68867,123,0.22360248,5,-581.69565,110.45963,3077.5807
1,1,-3,6,8.133581,453.89093,624.88669,1,0.21714459,0.87719895,0,66.977229,4.1803707,270.5679,285.18572,281,0.16049383,5,2208.5833,270.5679,18073.386
