h,k,l,I,sigma,multiplicity,d,absent_212121,Fc2,weight,phase_rad
1,5,1,139.2970813390807,4.0067935911277095,8,1.1643993607385772,False,137.50088478219547,0.03010348974568818,-1.0337872690616279
1,5,2,95.29368233267162,3.505600784915843,8,1.1490598613908698,False,91.45923571758112,0.04992647559223376,-0.2590948403385714
1,5,3,377.0444778821969,11.11070007759078,4,1.1247882853194724,False,379.7364516005847,0.003958593780658454,-1.670296291029072
1,5,4,7.601443321616784,1.7746367184695877,4,1.0932545915289658,False,8.914191565136589,0.3111384752304819,-0.8634891450725667
1,5,5,36.14907367502786,3.5239299725169824,4,1.0563561042471084,False,50.09559761773507,0.07004303914210062,1.971137175890777
1,5,6,61.370644281064266,3.1189505938878552,6,1.0159570459090654,False,66.41190020496217,0.07407960035701075,2.3393221682040064
1,5,7,137.70031715672715,5.9831191084853454,7,0.9737064296663418,False,143.05414827953024,0.01860149338397289,1.7972184938913442
1,5,8,-0.3030187299450796,0.930822644482436,7,0.9309459011329462,False,0.09527392680723491,1.1541554331331565,-1.1131089866194117
1,5,9,61.98353334571271,3.207648663736982,6,0.8886909907021777,False,68.11337431910286,0.07033467466026588,-1.823504744299403
1,5,10,11.617624001598893,2.3619252394789663,3,0.8476589816596767,False,12.39598468972626,0.17509283667554734,-0.46423528480680754
1,5,11,49.568955665292656,4.447543087720436,3,0.8083189115271981,False,50.69518655133557,0.045331929361025654,1.0305485061436608
1,5,12,19.152110416986933,3.424260204719592,2,0.7709466518714574,False,16.50280918296704,0.08335000228015589,2.7347109438011916
1,6,0,28.205492974540228,4.241089514380684,2,0.98082833729511,False,28.149556486489995,0.05347322959803781,-1.5707963267948961
1,6,1,126.95694941098394,5.867769344745047,4,0.977725585818732,False,116.96283131405788,0.02107288261831039,-2.7102220647675113
1,6,2,93.63047111067236,4.987798936543123,4,0.9685910770617135,False,91.94713723519752,0.030693551746643052,-2.999592731818999
1,6,3,61.64802198386252,4.109188183457543,4,0.9539197838653312,False,63.17165158681283,0.0489727952880611,-0.9705780924894845
1,6,4,67.25094801632308,4.311287914987103,4,0.9344565942717896,False,60.37776381649756,0.04520419515420696,0.5417451098497499
1,6,5,101.43480839687771,5.4504320342058605,4,0.9110990400107604,False,104.19154338824168,0.02544145395852906,0.07248504839077614
1,6,6,11.568215099007013,2.2540323043571746,4,0.8847968218461582,False,12.818978817264307,0.1916042417275025,0.5533975506226246
1,6,7,46.40663567668405,2.8252238464351653,7,0.8564666357488502,False,48.12374614221714,0.09983120412680924,2.4250764377257403
1,6,8,43.67462921238711,3.348385155830328,5,0.8269322762699127,False,45.0149281885859,0.07692682111932786,-2.8455877439715227
1,6,9,2.793779055360665,1.5715088340578638,4,0.7968915193558832,False,0.6259717966471487,0.40464912625941707,-0.36780227007641664
