x,y,z,height,multiplicity
0.6625,0.3416666666666667,0.275,0.7172221495357346,24
0.05,0.5666666666666667,0.35833333333333334,0.7130971400118301,24
0.35833333333333334,0.5333333333333333,0.775,0.7095991549040007,24
0.6083333333333333,0.7833333333333333,0.20833333333333334,0.7059041257545232,24
0.9625,0.125,0.5,0.7019634133137835,12
0.4375,0.24166666666666667,0.9166666666666666,0.6981501978205172,24
0.9208333333333333,0.058333333333333334,0.5,0.6887063735129542,12
0.4708333333333333,0.85,0.20833333333333334,0.6779456558773196,24
0.6666666666666666,0.3333333333333333,0.55,0.6759395101255882,4
0.0,0.5875,0.36666666666666664,0.6736173381616314,12
0.0,0.0,0.15833333333333333,0.661625866732698,2
0.1125,0.7666666666666667,0.0,0.6538077140148443,12
0.8125,0.1875,0.325,0.6532699794983604,12
0.7083333333333334,0.12916666666666668,0.05,0.6476099476907449,24
0.9041666666666667,0.1,0.4083333333333333,0.6470546304456536,24
0.35833333333333334,0.35833333333333334,0.75,0.6425442911673942,12
0.1875,0.5,0.8,0.6422198821718338,24
0.85,0.85,0.4583333333333333,0.6383845026813526,12
0.7041666666666667,0.0,0.225,0.6368984646488063,12
0.9791666666666666,0.13333333333333333,0.0,0.6358483707975507,12
0.5458333333333333,0.020833333333333332,0.24166666666666667,0.6207365150946113,24
0.32916666666666666,0.6083333333333333,0.5,0.6177513153122937,12
0.5541666666666667,0.5958333333333333,0.5,0.6168300478928235,12
0.2875,0.0,0.0,0.6107644369877263,6
0.05,0.5833333333333334,0.125,0.6029277104534159,24
0.37083333333333335,0.7416666666666667,0.8083333333333333,0.5996443453498749,12
0.35,0.175,0.8583333333333333,0.5996263536614449,12
0.4,0.6,0.2,0.5979756672852438,12
0.44583333333333336,0.029166666666666667,0.65,0.5964726833955826,24
0.5875,0.5791666666666667,0.08333333333333333,0.5906950899163333,24
0.5666666666666667,0.5541666666666667,0.4583333333333333,0.5885595456391522,24
0.44583333333333336,0.0,0.6,0.5859115350394986,12
0.21666666666666667,0.38333333333333336,0.7166666666666667,0.5822614579038657,24
0.22916666666666666,0.8375,0.5333333333333333,0.5817154655134139,24
0.8458333333333333,0.6583333333333333,0.2,0.5801714739950186,24
0.5,0.3875,0.7833333333333333,0.57542397250786,24
0.19166666666666668,0.6708333333333333,0.26666666666666666,0.5662401915815561,24
0.9041666666666667,0.8125,0.8416666666666667,0.564302145951565,24
0.0125,0.004166666666666667,0.0,0.5591981208202559,12
0.7541666666666667,0.24583333333333332,0.775,0.557846169635657,12
0.5083333333333333,0.05,0.041666666666666664,0.5509181733496717,24
0.0,0.09166666666666666,0.5,0.5508038473574597,6
0.45,0.625,0.13333333333333333,0.5501830480959662,24
0.0375,0.0,0.11666666666666667,0.5492623216938589,12
0.025,0.04583333333333333,0.8666666666666667,0.5485620462521229,24
0.725,0.45,0.09166666666666666,0.5481256913162231,12
0.5625,0.4375,0.275,0.5478490363153774,12
0.7416666666666667,0.6083333333333333,0.5,0.5448546921141446,12
0.375,0.3958333333333333,0.08333333333333333,0.544365734911092,24
0.4583333333333333,0.3333333333333333,0.7416666666666667,0.5435636049462406,24
0.6125,0.5708333333333333,0.4083333333333333,0.5423985062097603,24
0.2125,0.8666666666666667,0.38333333333333336,0.5395846729380321,24
0.11666666666666667,0.11666666666666667,0.5833333333333334,0.5362635044219862,12
0.3,0.7,0.7916666666666666,0.5354005232028841,12
0.5666666666666667,0.5375,0.95,0.5352551622537435,24
0.07083333333333333,0.6208333333333333,0.39166666666666666,0.5346197278347247,24
0.9791666666666666,0.7291666666666666,0.2,0.5315028371095633,24
0.65,0.6958333333333333,0.125,0.5314099194383509,24
0.5041666666666667,0.775,0.725,0.5306675441588643,24
0.0,0.35,0.3333333333333333,0.5304825166396429,12
0.12916666666666668,0.18333333333333332,0.5,0.5261087967560127,12
0.4,0.2,0.6083333333333333,0.5260591374038149,12
0.6833333333333333,0.825,0.7416666666666667,0.5254645776829164,24
0.6125,0.9291666666666667,0.8916666666666667,0.5223952457797828,24
0.9791666666666666,0.5166666666666667,0.8583333333333333,0.5219231567785434,24
0.6791666666666667,0.4708333333333333,0.8083333333333333,0.521887456220753,24
0.3958333333333333,0.9291666666666667,0.5333333333333333,0.5179679366619601,24
0.07916666666666666,0.15833333333333333,0.2916666666666667,0.517131284986091,12
